Scans,Initial Time,Final Time,Temperature[°C],Condutivity[mS/cm],Salinity[PSU],Conductance[S]
60,2018-07-24 13:18:26.215947,2018-07-24 13:19:26.667744,28.043006666666667,2.2965241833333336,1.1031403000000002,997.0986200000001,1505.8960166666666,0.49593818500000003
60,2018-07-24 13:19:26.681181,2018-07-24 13:20:27.139299,28.020589000000005,2.2970983666666664,1.1039374166666667,997.1056383333336,1505.8420666666666,0.4960621916666667
60,2018-07-24 13:20:27.152888,2018-07-24 13:21:27.601259,27.995995333333333,2.296703833333334,1.1042946500000002,997.1129250000001,1505.7823833333334,0.49597697499999993
60,2018-07-24 13:21:27.614673,2018-07-24 13:22:28.067831,27.970041,2.29659805,1.1048291166666666,997.12074,1505.7195333333334,0.49595413166666663
60,2018-07-24 13:22:28.081304,2018-07-24 13:23:28.525598,27.941117833333337,2.296569116666667,1.1054703166666664,997.1294849999999,1505.6495666666667,0.49594789333333333
60,2018-07-24 13:23:28.539148,2018-07-24 13:24:29.001091,27.920212999999997,2.296815516666667,1.1060695666666664,997.1358883333334,1505.599,0.49600110333333336
60,2018-07-24 13:24:29.014530,2018-07-24 13:25:29.476703,27.88277083333333,2.2967041333333333,1.1068639500000002,997.1471483333333,1505.508133333333,0.4959770500000001
60,2018-07-24 13:25:29.490130,2018-07-24 13:26:29.933362,27.863752,2.2967612,1.107325366666667,997.1529033333334,1505.461866666667,0.49598940500000005
60,2018-07-24 13:26:29.946904,2018-07-24 13:27:30.396417,27.846641499999997,2.296382416666667,1.1075226,997.1578966666668,1505.4202666666667,0.49590757333333335
60,2018-07-24 13:27:30.409846,2018-07-24 13:28:30.856409,27.821334333333326,2.2967834333333337,1.1083023166666668,997.1656533333332,1505.3589166666666,0.49599417000000007
60,2018-07-24 13:28:30.897084,2018-07-24 13:29:31.352098,27.811093500000002,2.296724216666666,1.1085056666666664,997.1687316666666,1505.3338833333335,0.4959813933333334
60,2018-07-24 13:29:31.365589,2018-07-24 13:30:31.817080,27.7890045,2.296798033333333,1.10904685,997.1753816666665,1505.2801333333332,0.49599734
60,2018-07-24 13:30:31.830859,2018-07-24 13:31:32.274307,27.760330333333336,2.2961723666666667,1.1093833333333334,997.1837616666667,1505.2100833333336,0.495862215
60,2018-07-24 13:31:32.287789,2018-07-24 13:32:32.742747,27.729208500000002,2.2966157166666665,1.1103199333333333,997.1932866666666,1505.1344666666666,0.49595796333333336
60,2018-07-24 13:32:32.756315,2018-07-24 13:33:33.210100,27.705469500000003,2.2962939,1.11069895,997.200285,1505.0763499999998,0.49588845500000006
60,2018-07-24 13:33:33.223543,2018-07-24 13:34:33.678430,27.685217500000004,2.2966248833333327,1.1113308333333334,997.2064983333332,1505.0270833333334,0.4959599333333333
60,2018-07-24 13:34:33.692122,2018-07-24 13:35:34.142508,27.664179166666667,2.2968589999999995,1.111931783333333,997.2129,1504.9757666666667,0.49601050166666666
60,2018-07-24 13:35:34.156044,2018-07-24 13:36:34.603709,27.63394266666667,2.296757083333333,1.1125730999999999,997.2219266666667,1504.9019,0.49598849
60,2018-07-24 13:36:34.617161,2018-07-24 13:37:35.067107,27.603955833333334,2.2966794666666663,1.113221566666667,997.2308699999999,1504.8285500000004,0.49597172666666667
60,2018-07-24 13:37:35.080540,2018-07-24 13:38:35.530557,27.578736833333334,2.2966854333333333,1.11380415,997.2384116666667,1504.76675,0.49597300666666666
60,2018-07-24 13:38:35.544045,2018-07-24 13:39:35.995831,27.552543833333335,2.2968868833333334,1.114509116666667,997.2463833333333,1504.7027333333333,0.49601650166666666
60,2018-07-24 13:39:36.009271,2018-07-24 13:40:36.463244,27.533803666666664,2.296564383333333,1.1147756999999998,997.2518766666667,1504.6565666666672,0.4959468683333333
60,2018-07-24 13:40:36.476804,2018-07-24 13:41:36.921143,27.519089833333332,2.2963795,1.1150199666666665,997.2562216666666,1504.6204,0.49590693
60,2018-07-24 13:41:36.934691,2018-07-24 13:42:37.403215,27.49920933333333,2.296689483333333,1.1156363999999999,997.2622566666668,1504.5718500000003,0.4959738916666667
60,2018-07-24 13:42:37.416884,2018-07-24 13:43:37.866980,27.475770666666666,2.2965274333333334,1.1160939666666667,997.26917,1504.514183333333,0.49593889999999996
60,2018-07-24 13:43:37.880445,2018-07-24 13:44:38.339221,27.459920999999998,2.296293716666667,1.1163401666666666,997.2738116666665,1504.4751333333334,0.4958884366666666
60,2018-07-24 13:44:38.352842,2018-07-24 13:45:38.807456,27.438037833333336,2.2967565833333334,1.1170822166666667,997.2804916666665,1504.4215666666666,0.49598838166666664
60,2018-07-24 13:45:38.821116,2018-07-24 13:46:39.273885,27.418764333333336,2.29636435,1.1173267,997.2860583333334,1504.3740166666664,0.4959036733333333
60,2018-07-24 13:46:39.287462,2018-07-24 13:47:39.754360,27.41080016666666,2.2965866999999993,1.1176245833333334,997.2885100000001,1504.3545500000002,0.4959516933333334
60,2018-07-24 13:47:39.767909,2018-07-24 13:48:40.232788,27.387371666666663,2.2966507666666662,1.1181991833333336,997.2955116666666,1504.2969166666667,0.4959655316666666
60,2018-07-24 13:48:40.246329,2018-07-24 13:49:40.701984,27.366909666666665,2.296550516666666,1.1186215,997.3015633333333,1504.2464166666666,0.49594387666666667
60,2018-07-24 13:49:40.715500,2018-07-24 13:50:41.173235,27.350089666666673,2.296252916666667,1.1188586,997.3064499999999,1504.2048333333335,0.4958796183333334
60,2018-07-24 13:50:41.186827,2018-07-24 13:51:41.642941,27.341936666666673,2.29645415,1.1191506666666666,997.3089500000001,1504.1847833333331,0.4959230416666667
60,2018-07-24 13:51:41.656571,2018-07-24 13:52:42.122138,27.329792,2.2962885,1.1193471166666669,997.3125016666667,1504.15475,0.4958872733333333
60,2018-07-24 13:52:42.135768,2018-07-24 13:53:42.609550,27.318463166666668,2.2966418,1.1197909499999998,997.3160100000001,1504.1269833333329,0.49596357166666666
60,2018-07-24 13:53:42.623230,2018-07-24 13:54:43.093797,27.3046345,2.296396933333333,1.1199863,997.3200133333335,1504.0926333333334,0.49591069499999996
